id,Pick,Name,Pos,Team,Bye,Overall,Std. Dev,High,Low,Times Drafted
55,5.05,Jonathan Stewart,RB,CAR,7,53.2,6,3.03,6.08,557
56,5.05,Russell Wilson,QB,SEA,9,53.3,6.7,3.08,6.11,411
57,5.06,Eric Decker,WR,NYJ,11,54.3,6.3,3.11,6.12,546
58,5.08,Donte Moncrief,WR,IND,10,56.1,6.1,4.01,7.02,510
59,5.1,DeAngelo Williams,RB,PIT,8,58.2,6.5,2.1,7.07,387
60,5.1,Drew Brees,QB,NO,5,58.3,8,1.08,7.1,363
61,5.11,Ryan Mathews,RB,PHI,8,58.7,5.7,4.02,8.06,454
62,6.02,Allen Hurns,WR,JAC,5,61.6,7.2,3.11,8.08,397
63,6.02,Ben Roethlisberger,QB,PIT,8,62.1,7.8,1.02,7.12,346
64,6.03,Larry Fitzgerald,WR,ARI,9,62.7,7,4.02,7.1,389
65,6.03,Josh Gordon,WR,CLE,13,63.2,7.8,3.1,8.01,387
66,6.05,Melvin Gordon,RB,SD,10,64.8,7.1,4.01,7.11,453
67,6.06,Travis Kelce,TE,KC,9,65.6,7.4,3.01,8.03,282
68,6.06,Duke Johnson,RB,CLE,13,66.2,7.2,4.08,8.07,390
69,6.08,Chris Ivory,RB,JAC,5,68.1,7.3,4.07,8.08,347
70,6.08,Tom Brady,QB,NE,9,68.5,7.5,3.01,8.08,377
71,6.1,Emmanuel Sanders,WR,DEN,11,69.9,8,4.02,9.04,413
